country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Guyana,0,0,0,3,11,24,29,34,41,44,46,50,52,55,57,59,62,65,68
High income,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,
Honduras,0,0,1,6,8,12,16,20,23,26,30,33,36,39,41,44,46,50,50
Heavily indebted poor countries (HIPC),0,0.112458109,0.207857596,0.595122167,1.887888581,3.888957897,6.164191517,10.41137634,14.57943487,17.78085963,21.62478989,25.2509593,30.29111898,35.32292748,41.4875075,46.48151488,52.06703821,58.19016614,63.12657381
Croatia,31,33,35,36,37,37,38,41,44,46,49,52,55,58,62,68,72,74,75
Haiti,0,0,1,1,1,3,7,10,15,19,21,25,30,38,42,46,54,61,58
Hungary,31,33,33,31,30,29,31,30,29,29,30,33,33,34,39,45,46,51,56
IBRD only,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,,,,,,,,,,,,,,,,,,,
IDA total,0,0.070562193,0.132603237,0.591297472,1.981893604,3.773668225,6.605264816,10.28240843,14.64063743,18.46797624,22.96453091,27.23077669,32.3448337,37.33566619,43.03813777,48.3939703,53.93756607,59.71924955,63.29546703
IDA blend,0,0.000118832,0.000490057,0.567295969,2.33049983,3.757760071,7.411678652,9.796756469,14.55223433,19.47914764,25.05829768,30.76340657,36.09019316,40.82761667,45.52535189,51.64589595,57.22614895,62.69515899,63.63175605
Indonesia,0,0,0,0,0,0,1,2,2,3,4,5,5,6,8,10,12,14,17
IDA only,0,0.110531069,0.204341546,0.60455617,1.793906056,3.782053885,6.190239868,10.53017719,14.68678056,17.96228432,21.95189223,25.50445905,30.53701392,35.6348696,41.83987512,46.85980086,52.36970412,58.30105813,63.1349041
Isle of Man,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,
Not classified,,,,,,,,,,,,,,,,,,,
Ireland,43,48,52,54,56,57,58,59,59,59,60,63,66,69,71,73,75,76,80
"Iran, Islamic Rep.",0,0,0,0,1,1,1,1,2,3,4,5,7,9,11,13,16,19,20
Iraq,,,,,,,,,,,,,,,,,,,
Iceland,33,41,46,52,55,59,61,63,65,66,67,67,68,69,69,69,69,75,79
Israel,,,,,,,,,,,,,,,,,,,
Italy,30,36,41,45,49,52,56,59,62,65,67,70,72,75,77,78,80,86,91
Jamaica,0,0,0,0,0,4,5,8,10,14,16,18,20,22,25,27,28,30,31
Jordan,0,0,0,0,36,41,43,46,48,50,50,50,56,55,60,64,75,72,84
Japan,25,35,42,47,50,53,54,55,56,56,56,57,57,57,58,71,78,80,80
Kazakhstan,0,0,0,1,1,5,5,6,7,11,11,14,18,22,26,32,37,49,58
Kenya,0,0,0,0,2,4,9,12,17,23,29,37,41,44,50,59,66,73,68
Kyrgyz Republic,0,0,0,0,0,2,3,3,5,8,9,10,11,17,23,27,33,39,43
Cambodia,0,0,0,3,7,15,25,33,40,47,54,59,63,65,69,72,75,79,81
Kiribati,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,
Kuwait,43,45,52,40,49,53,50,46,37,42,38,47,47,51,50,49,56,57,62
Latin America & Caribbean (excluding high income),9.452578232,11.05444349,12.56665187,14.89475593,16.66798923,18.99157616,20.61376777,23.0582336,24.92796499,27.44746468,31.049718,34.26688564,37.87709399,41.5351567,45.7124183,50.65888177,54.80540372,58.54287151,63.40730185
Laos,0,0,0,1,3,5,7,9,12,15,17,19,22,25,30,34,40,48,54
Lebanon,2,4,6,9,11,13,14,17,20,23,27,30,33,36,39,42,48,54,60
Liberia,0,0,0,0,0,0,2,3,5,7,11,14,13,16,17,18,20,29,35
Libya,14,14,15,12,16,17,18,20,23,26,28,29,30,31,34,37,39,40,44
St. Lucia,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,9.429508709,11.05330716,12.61435942,15.01795357,16.78506462,19.22818072,20.81409501,23.24465833,25.05992744,27.62315256,31.11991334,34.24125755,37.82608453,41.59774599,45.64702201,50.42212132,54.58477918,58.37693222,63.19484015
Least developed countries: UN classification,0,0.121407845,0.152035722,0.568536562,1.751274377,3.637973603,6.063037249,10.50078749,14.54288591,18.02513624,22.11135913,25.54661259,30.70385625,36.14938903,42.39889653,47.49997217,52.81428441,58.56753692,63.32845355
Low income,0,0.150520802,0.188968411,0.401237296,1.658419093,3.411556774,5.675527812,9.58780175,13.29639534,16.51843655,20.41756893,23.74230217,29.18970521,34.80737403,41.24969929,45.90763743,52.001256,58.33284416,62.88543264
Liechtenstein,,,,,,,,,,,,,,,,,,,
Sri Lanka,0,0,0,0,0,2,2,3,4,5,7,8,10,13,17,22,29,36,45
Lower middle income,,,,,,,,,,,,,,,,,,,
Low & middle income,,,,,,,,,,,,,,,,,,,
Lesotho,0,0,0,0,1,3,6,14,19,26,32,32,35,38,41,46,54,60,61
Late-demographic dividend,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,
Luxembourg,46,47,48,47,48,52,55,53,56,55,57,60,63,63,66,68,72,75,77
Latvia,1,2,2,3,3,3,5,9,9,11,13,14,15,17,18,20,36,40,45
"Macao SAR, China",,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,
Morocco,0,0,0,5,7,8,9,11,14,16,18,23,29,34,38,46,53,57,65
Monaco,,,,,,,,,,,,,,,,,,,
Moldova,0,0,0,0,1,1,2,3,5,7,8,10,13,15,18,23,26,30,34
Madagascar,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,4,5,7,9
Maldives,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,1.20789832,1.422453472,1.547945205,2.651234568,3.907317073,4.691184008,5.708493282,6.628072517,8.096033403,9.773000098,11.86635176,13.83817574,16.57882392,19.46629799,22.62501906,26.12826103,30.44451376,33.92147215,37.3388575
Mexico,8,10,13,17,19,21,25,29,32,34,36,39,44,45,47,55,60,62,70
Marshall Islands,,,,,,,,,,,,,,,,,,,
Middle income,,,,,,,,,,,,,,,,,,,
North Macedonia,9,9,8,9,3,8,11,14,18,17,22,23,28,31,34,42,47,49,54
Mali,0,0,0,1,3,3,7,11,15,18,21,24,23,22,24,26,27,29,31
Malta,,,,,,,,,,,,,,,,,,,
Myanmar,0,0,0,0,0,1,3,5,7,9,13,18,24,30,37,46,54,62,70
Middle East & North Africa (excluding high income),0.712406015,0.965060988,1.119929453,2.310618067,3.593280915,4.208860759,5.295583518,6.243057936,7.728831726,9.372210441,11.48864824,13.39447554,16.15982128,19.04750555,22.29702274,25.91383034,30.24202147,33.74179666,37.16197092
Montenegro,9,12,12,14,16,21,22,23,23,24,28,27,27,30,32,32,36,39,40
Mongolia,0,0,0,1,1,0,1,1,2,3,6,9,12,19,25,27,28,31,32
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,
Mozambique,0,0,0,0,1,2,3,7,10,11,14,16,18,25,31,37,44,50,56
Mauritania,0,0,0,0,1,3,7,11,15,20,23,25,27,32,35,40,44,52,54
Mauritius,0,0,1,1,1,2,3,4,5,5,6,13,14,16,20,21,21,22,22
Malawi,0,0,0,0,1,3,7,12,18,23,29,36,44,50,56,60,67,73,78
Malaysia,0,2,4,6,8,10,11,13,15,16,18,19,20,22,27,32,44,46,48
North America,,,,,,,,,,,,,,,,,,,
Namibia,0,0,0,0,4,9,17,28,35,38,50,59,64,68,69,75,77,84,92
New Caledonia,,,,,,,,,,,,,,,,,,,
Niger,0,0,0,0,0,2,4,6,7,17,20,26,31,33,31,35,42,51,54
Nigeria,0,0,0,2,4,5,9,10,16,20,22,25,32,38,41,46,51,53,53
Nicaragua,0,0,0,0,1,3,5,8,11,15,17,22,26,29,34,38,42,47,53
Netherlands,43,46,48,49,50,51,52,54,58,61,64,67,70,74,77,80,82,83,
Norway,36,43,50,55,59,62,65,68,70,72,72,73,73,73,74,75,76,81,82
Nepal,0,0,0,0,0,1,2,4,8,12,16,21,25,29,34,39,43,50,56
Nauru,,,,,,,,,,,,,,,,,,,
New Zealand,33,36,39,42,45,49,49,50,51,54,57,59,60,62,64,68,71,74,73
OECD members,,,,,,,,,,,,,,,,,,,
Oman,11,11,11,12,12,12,12,14,18,21,24,28,30,33,33,32,35,38,41
Other small states,0.00862852,0.449907739,0.939231174,2.314780648,5.354264197,9.4431458,14.24751317,20.21538904,25.62194674,31.17106585,37.50533181,41.34955186,45.96753028,49.96973899,53.06202532,58.49665697,64.07128107,69.30616407,72.51034277
Pakistan,0,1,3,5,4,1,1,2,2,2,3,3,4,3,4,5,7,8,10
Panama,7,9,11,13,14,16,17,19,20,26,27,30,31,36,38,40,47,51,54
Peru,0,0,1,3,2,5,8,13,16,23,31,32,40,40,46,50,57,64,73
Philippines,0,0,0,0,0,2,4,6,7,8,9,14,15,19,23,27,33,38,44
Palau,,,,,,,,,,,,,,,,,,,
Papua New Guinea,0,0,0,0,0,1,3,9,13,17,20,25,31,38,46,51,56,60,65
Poland,,,,,,,,,,,,,,,,,,,
Pre-demographic dividend,0,0.094046835,0.157688734,0.7192313,2.177932478,3.955813637,6.57571757,10.03844482,14.30908709,17.60154868,21.27173742,24.98031703,30.11593867,35.10916795,40.8621284,46.3623835,51.82052166,57.56825802,61.06343581
Puerto Rico,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People’s Rep.",,,,,,,,,,,,,,,,,,,
Portugal,16,20,24,27,31,34,37,40,43,46,51,55,60,65,69,73,77,87,90
Paraguay,0,0,0,0,0,3,4,6,8,11,15,16,18,21,24,26,31,37,40
West Bank and Gaza,,,,,,,,,,,,,,,,,,,
Pacific island small states,,,,,,,,,,,,,,,,,,,
Post-demographic dividend,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,
Romania,54,59,64,61,58,56,54,52,53,53,53,53,53,58,60,64,65,66,67
Russian Federation,,,,,,,,,,,,,,,,,,,
Rwanda,0,0,0,0,3,9,15,21,29,35,40,45,52,58,64,71,80,83,87
South Asia,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,
Sudan,0,0,0,0,0,0,0,0,3,5,5,5,5,7,8,8,11,14,15
Senegal,0,0,0,0,0,0,1,17,21,24,27,29,27,31,37,43,50,55,63
Singapore,3,4,4,5,6,8,12,16,21,28,31,37,42,48,56,63,67,67,78
Solomon Islands,,,,,,,,,,,,,,,,,,,
Sierra Leone,0,0,0,0,0,1,1,2,4,7,10,14,13,15,17,22,27,35,41
El Salvador,0,0,1,3,6,11,16,19,23,28,33,34,35,39,40,41,44,46,47
San Marino,,,,,,,,,,,,,,,,,,,
Somalia,0,0,0,0,0,0,1,1,2,3,5,7,10,12,14,18,22,26,30
Serbia,0,0,0,36,44,53,52,51,51,50,52,52,52,52,53,55,58,61,65
Sub-Saharan Africa (excluding high income),0,0.077622533,0.139228855,0.765756553,1.923458762,3.847603601,6.54768734,10.09739324,14.42610989,18.34006874,23.64879401,28.7393239,34.1342955,39.42657989,44.59217011,49.24017325,54.23834249,59.42570291,63.45482915
South Sudan,0,0,0,0,0,0,0,0,0,1,2,3,3,5,7,11,11,13,16
Sub-Saharan Africa,0,0.077622533,0.139228855,0.765756553,1.923458762,3.847603601,6.54768734,10.09739324,14.42610989,18.34006874,23.64879401,28.7393239,34.1342955,39.42657989,44.59217011,49.24017325,54.23834249,59.42570291,63.45482915
Small states,0.013581435,0.436572131,0.912230073,2.324677841,5.271170131,9.399456012,14.06278855,19.88517138,25.17892627,30.6312278,36.71827921,40.49038384,44.96819308,48.90947172,52.0194321,57.24728769,62.67448296,67.7705413,70.93161786
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,
Suriname,0,0,1,4,6,9,12,16,20,22,25,28,29,29,33,35,45,45,52
Slovak Republic,10,10,11,12,33,29,37,33,28,30,30,30,33,37,41,46,47,59,54
Slovenia,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,
Eswatini,0,1,2,3,4,8,13,18,22,28,38,42,46,51,61,69,78,86,86
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,0,0,0,2,4,5,6,7,9,11,13,18,21,23,25,25,25,24,20
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,
Chad,0,0,0,2,1,2,6,8,19,26,32,32,35,36,43,51,38,44,51
East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,
Europe & Central Asia (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,
Togo,0,0,0,1,2,5,6,7,10,16,23,26,26,31,34,38,48,56,60
Thailand,0,1,2,4,9,16,20,25,28,32,36,40,43,47,51,55,62,68,75
Tajikistan,0,0,0,0,0,0,1,1,2,3,5,7,8,11,17,24,32,39,46
Turkmenistan,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),9.498740157,11.11237153,12.65442983,15.00063694,16.75593923,19.20115176,20.76388062,23.20343058,24.99930247,27.55780524,31.09929879,34.22210009,37.81862104,41.59658214,45.61851675,50.38372395,54.56433556,58.31281803,63.11625928
Timor-Leste,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),0.712406015,0.965060988,1.119929453,2.310618067,3.593280915,4.208860759,5.295583518,6.243057936,7.728831726,9.372210441,11.48864824,13.39447554,16.15982128,19.04750555,22.29702274,25.91383034,30.24202147,33.74179666,37.16197092
Tonga,,,,,,,,,,,,,,,,,,,
South Asia (IDA & IBRD),,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),0,0.077622533,0.139228855,0.765756553,1.923458762,3.847603601,6.54768734,10.09739324,14.42610989,18.34006874,23.64879401,28.7393239,34.1342955,39.42657989,44.59217011,49.24017325,54.23834249,59.42570291,63.45482915
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,
Tunisia,0,10,12,15,17,20,21,23,24,28,29,30,25,27,30,32,35,35,39
Turkey,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,
United Republic of Tanzania,0,0,0,0,1,2,5,12,13,16,19,21,33,38,46,52,58,64,71
Uganda,0,1,1,2,5,8,8,10,14,16,20,23,30,40,50,54,61,71,72
Ukraine,0,0,0,0,1,1,2,3,4,7,9,11,18,24,28,28,38,44,52
Upper middle income,,,,,,,,,,,,,,,,,,,
Uruguay,12,14,15,17,18,19,22,23,24,24,31,33,31,48,49,50,50,52,58
United States,,,,,,,,,,,,,,,,,,,
Uzbekistan,0,0,0,0,0,0,0,1,2,5,7,9,11,18,25,31,38,45,51
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",,,,,,,,,,,,,,,,,,,
British Virgin Islands,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,
Vietnam,0,0,0,0,0,1,4,8,13,18,23,28,33,37,41,49,54,61,65
Vanuatu,,,,,,,,,,,,,,,,,,,
World,2,3,3,4,5,7,10,13,16,20,24,29,34,39,43,48,53,57,62
Samoa,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",0,0,0,0,0,0,0,2,5,7,11,11,11,12,17,16,18,21,21
South Africa,0,0,0,1,1,3,5,8,12,16,23,30,36,42,46,49,53,57,62
Zambia,0,0,0,2,3,6,9,17,24,29,35,41,45,51,58,66,67,70,78
Zimbabwe,0,0,0,0,1,2,5,8,12,18,30,39,46,53,60,66,72,81,88
